,support,confidence,lhs,rhs,sale,recommendation,profit,mark
770,0.013999999999999999,0.929,"['爆炒猪肝', '美妙绝伦之白莲花', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.593
901,0.013999999999999999,0.929,"['凉拌菠菜', '焖猪手', '美妙绝伦之白莲花', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.593
806,0.013999999999999999,1.0,"['爆炒猪肝', '芝士烩波士顿龙虾', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.593
785,0.013999999999999999,0.542,"['凉拌菠菜', '姜葱炒花蟹', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.593
843,0.013999999999999999,0.765,"['焖猪手', '芹菜炒腰花', '麻辣小龙虾']",自制猪肉脯,0.42,0.86,0.4,6.593
819,0.013999999999999999,0.65,"['清蒸海鱼', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.593
862,0.013999999999999999,0.765,"['剁椒鱼头', '爆炒猪肝', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.593
909,0.013999999999999999,0.765,"['凉拌菠菜', '剁椒鱼头', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.593
789,0.013999999999999999,0.542,"['凉拌菠菜', '剁椒鱼头', '蒙古烤羊腿', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.593
838,0.013999999999999999,1.0,"['凉拌菠菜', '焖猪手', '芹菜炒腰花', '谷稻小庄', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.593
836,0.013999999999999999,0.929,"['凉拌菠菜', '孜然羊排', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.593
894,0.013999999999999999,0.591,"['焖猪手', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.593
769,0.013999999999999999,0.684,"['焖猪手', '美妙绝伦之白莲花', '芝士烩波士顿龙虾']",自制猪肉脯,0.42,0.86,0.4,6.593
896,0.013999999999999999,0.765,"['凉拌菠菜', '爆炒猪肝', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.593
792,0.013999999999999999,0.684,"['焖猪手', '爆炒猪肝', '芝士烩波士顿龙虾']",自制猪肉脯,0.42,0.86,0.4,6.593
793,0.013999999999999999,0.65,"['炝炒大白菜', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.593
920,0.013999999999999999,0.867,"['芝士烩波士顿龙虾', '芹菜炒腰花', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.593
754,0.013999999999999999,0.929,"['炝炒大白菜', '焖猪手', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.593
1053,0.013000000000000001,0.5710000000000001,"['凉拌菠菜', '爆炒猪肝', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.591
1117,0.013000000000000001,0.9229999999999999,"['焖猪手', '芝士烩波士顿龙虾', '芹菜炒腰花', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.591
1120,0.013000000000000001,0.857,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.591
994,0.013000000000000001,0.5710000000000001,"['凉拌菠菜', '芹菜炒腰花', '香酥两吃大虾']",自制猪肉脯,0.42,0.86,0.4,6.591
1119,0.013000000000000001,0.8,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.591
953,0.013000000000000001,0.5710000000000001,"['孜然羊排', '焖猪手']",自制猪肉脯,0.42,0.86,0.4,6.591
1075,0.013000000000000001,0.8,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '爆炒猪肝']",自制猪肉脯,0.42,0.86,0.4,6.591
930,0.013000000000000001,0.667,"['焖猪手', '辣炒鱿鱼', '麻辣小龙虾']",自制猪肉脯,0.42,0.86,0.4,6.591
1009,0.013000000000000001,0.632,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.591
1092,0.013000000000000001,0.857,"['凉拌菠菜', '爆炒猪肝', '芹菜炒腰花', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.591
1166,0.013000000000000001,0.857,"['美妙绝伦之白莲花', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.591
1164,0.013000000000000001,0.857,"['爆炒猪肝', '芹菜炒腰花', '豌豆薯仔猪骨汤']",自制猪肉脯,0.42,0.86,0.4,6.591
1090,0.013000000000000001,0.857,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.591
1013,0.013000000000000001,0.632,"['焖猪手', '爆炒猪肝', '豌豆薯仔猪骨汤']",自制猪肉脯,0.42,0.86,0.4,6.591
976,0.013000000000000001,0.632,"['姜葱炒花蟹', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.591
1065,0.013000000000000001,1.0,"['焖猪手', '爆炒猪肝', '芝士烩波士顿龙虾', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.591
1102,0.013000000000000001,0.75,"['凉拌菠菜', '爆炒猪肝', '美妙绝伦之白莲花']",自制猪肉脯,0.42,0.86,0.4,6.591
1091,0.013000000000000001,0.857,"['焖猪手', '爆炒猪肝', '芹菜炒腰花', '豌豆薯仔猪骨汤']",自制猪肉脯,0.42,0.86,0.4,6.591
